  time      ab
150.00    3.13
150.10    3.13
150.27    3.13
150.41    3.13
150.61    3.13
150.78    3.13
150.92    3.11
151.07    3.08
151.24    3.03
151.53    2.89
151.78    2.71
152.17    2.36
152.51    1.99
152.90    1.56
153.55    0.92
154.01    0.52
154.53    0.15
154.96   -0.15
155.40   -0.41
156.11   -0.71
156.57   -0.87
157.45   -1.13
157.88   -1.24
158.86   -1.43
159.83   -1.53
160.78   -1.61
162.17   -1.72
163.58   -1.77
164.79   -1.77
165.40   -1.80
166.08   -1.83
166.64   -1.83
167.10   -1.83
167.64   -1.83
168.25   -1.83
168.69   -1.83
169.42   -1.83
170.00   -1.83
